"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Sample","model","suffix","state","treatment","Cluster"
-2.08558235200416,-9.43312637933033,-8.21986545427009,-6.1569239188261,-0.940546990004476,-8.82273585112547,3.78648243710221,2.5976425432814,1.8077870099204,1.86004706734926,4.08515437054083,3.5886446650462,-0.544346090996286,0.223208351720008,0.658443360584447,0.42772075723479,-0.219372688557406,-7.98014726012382e-15,"HBCx14_AC1","HBCx14","AC","Persister","AC","1"
11.616031751499,0.841987657684796,-8.92299595687573,-7.74590775798192,-1.774145435353,3.03186248727681,-1.80553663287845,4.26079399209355,-1.17441928289257,-3.83302908775954,-0.941180734774304,-1.74351597055915,3.66758660064953,3.93023242697081,2.91655355738841,0.290500408404546,-0.948089623857776,9.99677833779883e-15,"HBCx14_AC2","HBCx14","AC","Persister","AC","1"
14.8797916054999,12.3011614411253,-4.8129035676518,-2.16188512196634,-1.93110066516769,0.421501852266415,3.62327550839876,0.359809322715957,1.10495106941868,-4.55480032273309,-2.25169914728909,1.88686669478221,-1.43631192032321,-2.89244267425282,-1.7387373788262,-5.10685980202419,0.661857602493593,4.95260731350706e-16,"HBCx14_AC3","HBCx14","AC","Persister","AC","1"
10.8470580310595,-1.63487251459836,5.19338916381883,-0.651145945763678,-4.30300818038443,2.85821167443312,-1.7657709167635,8.01824112538049,-1.95395022361055,2.75122364562993,-1.79586277285382,0.653351074714749,-2.36765125520594,-1.99286988910991,-2.10961404015439,2.66554253524659,2.41616111404994,-2.81753908480085e-15,"HBCx14_AC4","HBCx14","AC","Persister","AC","1"
13.2895407549347,7.52212993913727,1.0921757565252,-1.92646111505193,3.45764732024532,2.03521801018498,3.54412498561139,-1.11296209709978,0.652001418173269,0.445276809579625,-1.01868475845754,0.495947389470884,-0.746669246951128,-0.00464274847149646,-3.11750531516682,3.43829555021388,-5.55674095493664,-7.65889959885596e-17,"HBCx14_AC5","HBCx14","AC","Persister","AC","1"
-39.9150539198662,-2.41379530782805,5.3822737609708,-5.1087363360752,2.27144361404381,1.19618307968928,-6.00677477524552,-1.40357195468273,0.851324957346387,-5.36307618664968,2.82141375516503,1.46828608508731,-0.534059922246283,-1.37246830384312,-2.20997116660112,1.27453654718248,0.546226222057748,-2.17026713383756e-14,"HBCx14_chemonaive1","HBCx14","chemonaive","chemonaive","chemonaive","2"
-41.8554616376445,1.40811591620902,1.8328090102317,0.193207285799046,-1.75707536257829,3.23812709746863,1.12741286791178,1.44968585696815,1.44721584828368,2.95838179565187,-1.2458025058474,-1.1048300167964,-4.31414580108491,0.419188679503451,3.84007348469006,-2.1035144917125,-2.32021698445086,-2.33600654883154e-15,"HBCx14_chemonaive2","HBCx14","chemonaive","chemonaive","chemonaive","2"
-38.4893792658397,9.74589532079899,-5.84494464150023,0.818704580567912,-1.98370950935754,-0.711156826559867,3.82103972419148,-1.7963954862223,-2.87998779227668,3.01243784872771,-2.3459583421883,-0.0669287842610831,5.04432347333626,0.673892997255574,-2.36979888585114,0.43357641046536,1.71343573168121,-7.911561539942e-15,"HBCx14_chemonaive3","HBCx14","chemonaive","chemonaive","chemonaive","2"
5.25570403483859,2.55250280000305,8.65889765869534,3.85072263823798,6.87380139261564,-0.902354231131124,-1.47582443451424,0.883428556260346,2.08794156309331,0.376757188888717,-3.73198963895562,4.76961094495024,3.06029191802507,-1.89696175197252,3.91696131786762,0.749074376560229,0.531559761058811,-9.42574147580397e-15,"HBCx14_Carboplatin1","HBCx14","Carboplatin","Persister","Carboplatin","1"
9.0964766407396,13.2757273222173,-15.9183792478879,0.596592715897764,3.74618067859255,-1.41155346022014,-3.45135552102485,-0.96053436837223,-0.618988111887713,1.94469890381188,2.67779991748421,-4.55646720772386,-0.495670612478867,-4.22196637895464,1.6936178526685,0.941225494766549,0.584263396629606,-1.33665383215449e-14,"HBCx14_Carboplatin2","HBCx14","Carboplatin","Persister","Carboplatin","1"
3.02183163137942,-6.0805432950609,5.47183205842751,4.57181530978457,3.1069737743539,2.30086460739418,1.67969409965284,3.20161653547489,7.31719394554235,1.06198270073046,2.89695900002938,-3.64952904431593,2.56740425104622,1.15703633039541,-2.28909877109405,-1.79088582445995,0.844121899963584,-8.03830545088457e-15,"HBCx14_Carboplatin3","HBCx14","Carboplatin","Persister","Carboplatin","1"
3.94601110079253,4.87657907628852,-1.37241752090753,7.23034075278197,5.4172973042872,-2.70529052135149,-3.64988524359106,1.95308156578453,-5.10648927931506,0.384934883185704,1.18210493590057,1.38879754816098,-2.15342837473247,4.58043286839696,-1.75684065832408,-2.44132127689113,-0.340990327403347,-9.32073699442365e-15,"HBCx14_Carboplatin4","HBCx14","Carboplatin","Persister","Carboplatin","1"
1.30453914015849,-19.4362361317944,-18.1524031004038,7.34527749765168,0.318741354859629,3.29340673157041,2.21009982900135,-3.08258177566686,0.69508978521261,-2.49866932648195,-2.01588138345927,0.848335796061323,-2.08232739315097,0.637668448876166,0.204471235278444,1.9889945817809,1.44724033251331,2.65293135268565e-16,"HBCx14_Carboplatin5","HBCx14","Carboplatin","Persister","Carboplatin","1"
16.600434807756,5.41623009815615,10.3146429763075,-7.44060939343184,2.80721552108856,3.14160166211837,3.44823628464804,-5.27108275883399,-0.701451838019532,1.69143714462998,1.65842459402814,-0.137958213382343,-2.31426186762844,2.64101016120417,1.25255452405695,0.633096104608685,3.64034789560932,-3.44237302500823e-15,"HBCx14_Cisplatin1","HBCx14","Cisplatin","Persister","Cisplatin","1"
13.8295890984328,4.12284995858564,-0.163406670001936,0.334513911391293,-7.49883471240222,-3.15102180871575,-7.04703111836131,-4.70616807902055,4.83283100391223,2.28927490487243,-2.53399322170616,0.521081753575398,-0.259490936290434,2.01655507795137,-0.854773285648139,0.00971687440088477,-0.364716223481311,-7.50717539680097e-16,"HBCx14_Cisplatin2","HBCx14","Cisplatin","Persister","Cisplatin","1"
10.1374714326995,-23.399996242473,4.74344192074906,-4.90452061268086,1.27891148553616,0.403057861509582,-1.86989536170392,-2.64662043646748,-4.14833868664817,2.74590811735569,-1.44934063408491,-1.5291970516081,1.77016708611575,-2.50222907350571,-0.790593942848521,-3.05456228092514,-1.48726686935347,-2.60623946487604e-15,"HBCx14_Cisplatin3","HBCx14","Cisplatin","Persister","Cisplatin","1"
-1.24640745405416,-1.84314362566304,13.9558911238664,3.65783427137683,-1.85350516278949,-7.58072736715813,2.82844293937755,-0.0986959853493608,-1.54395305962078,-4.44078769806592,-2.14947358182768,-4.97958915171363,-0.937461030890721,-0.13350680302672,1.0245087590547,1.57757882840894,0.119607064094127,-9.24217274417715e-15,"HBCx14_Cisplatin4","HBCx14","Cisplatin","Persister","Cisplatin","1"
9.76740459961858,2.17853396654206,6.7619627299068,7.49718123828884,-7.23628642758564,3.3648050023502,1.00326532818743,-1.64568655624405,-2.66875832663186,-0.831998388723087,6.15801014829593,2.14709348851119,2.07605112280684,-1.26213771913698,1.72974935292533,0.0672852067390656,-1.26742734811044,-3.28287630405762e-15,"HBCx14_Cisplatin5","HBCx14","Cisplatin","Persister","Cisplatin","1"
